nome_societa,email,scheda_tc,stato,data_contatto,note
F.B.C. Casale A.S.D.,segreteriagenerale.casalefbc@gmail.com,,Da contattare,,
Asd Pastorfrigor Stay,pastorfrigorstay@gmail.com,,Da contattare,,
A.S.D. Olimpia Solero Quattordio,info@olimpiasolero.it,,Da contattare,,
A.S.D. Arquatese Valli Borbera,usd.arquatese@gmail.com,,Da contattare,,
A.S.D. Lisòndria,segreteria@lisondria.it,,Da contattare,,
Acqui F.C. Ssdarl,fc.acqui@gmail.com,,Da contattare,,
A.S.D. Real Cerrina Calcio,realcerrinacalcio@gmail.com,,Da contattare,,
VALENZANA MADO S.R.L.,valenzacalcio@libero.it,,Da contattare,,
ASD ACF Alessandria Calcio Femminile,segreteria@acfalessandria.it,,Da contattare,,
USD Pozzolese,Segreteria.uspozzolese@gmail.com,,Da contattare,,
ASD FBC OZZANO 1919 Ronzonese,scuolacalcio_ozzano@libero.it,,Da contattare,,
sale,asdsalecalcio@gmail.com,,Da contattare,,
US NOVESE,amministrazione@usnovese.it,,Da contattare,,
U.S.D. Virtus Canelli,info@virtuscanelli.com,,Da contattare,,
Asd Spartak San Damiano,spartaksandamiano92@gmail.com,,Da contattare,,
A.S.C.D. Buttiglierese '95,info@buttiglierese.com,,Da contattare,,
A.S.D. Asti,segreteria@asdasti.it,,Da contattare,,
Asd Provillafranca 1946,settoregiovanileprovillafranca@gmail.com,,Da contattare,,
ASDC CANELLI 1922,canellicalcio@hotmail.com,,Da contattare,,
Real Astigiana A.S.D.,realastigiana@gmail.com,,Da contattare,,
A.S.D. attivamente-sport,Attiva-mentesport@libero.it,,Da contattare,,
Torri Biellesi A.S.D.,info@torribiellesi.it,,Da contattare,,
ACF BIELLESE,acfbiellese1969@libero.it,,Da contattare,,
A.S.D. Tigers Prealpi Biellesi,info.tigersprealpi@gmail.com,,Da contattare,,
A.P.D.Valle Cervo Andorno,polisportiva.vca@gmail.com,,Da contattare,,
U.S.D. Valdilana Biogliese,valdilana.biogliese@gmail.com,,Da contattare,,
FCD Cossatese,fcdcossatese@gmail.com,,Da contattare,,
F.G. Vilianensis A.s.d.,fgvilianensisasd@gmail.com,,Da contattare,,
ASD Città Di Cossato,asdcossato@gmail.com,,Da contattare,,
Langheting Asd,marco.defilippi@ferrero.com,,Da contattare,,
A.S.D. Olimpic Saluzzo 1957,segreteria@olimpicsaluzzo.it,,Da contattare,,
A.S.D. Caraglio Calcio,ASDCARAGLIOCALCIO@GMAIL.COM,,Da contattare,,
Freedom Fc Ssdrl,freedomfc@legalmail.it,,Da contattare,,
A.S.D. Cheraschese 1904,info@cheraschese1904.it,,Da contattare,,
A.S.D. Pro Savigliano Calcio,info@prosavigliano.it,,Da contattare,,
A.S.D. Valle Varaita Calcio,asdvallevaraita@gmail.com,,Da contattare,,
A.S.D. Bandito Sportgente,asdbanditosportgente@libero.it,,Da contattare,,
A.S.D. Salice,SEGRETERIA@ASDSALICE.COM,,Da contattare,,
A.S.D. Boves MdG Cuneo,asdbovesmdg@yahoo.it,,Da contattare,,
Acsd Saluzzo,settore.giovanile@saluzzocalcio.it,,Da contattare,,
A.C. Cuneo 1905 Olmo S.S.D. A R.L.,segreteria@olmo84.com,,Da contattare,,
A.S.D.C. Marene,asdcmarene@gmail.com,,Da contattare,,
Fossano Calcio Ssd Arl,info@fossanocalcio.it,,Da contattare,,
A.S.D Cortemilia Calcio,asdcortemiliacalcio@gmail.com,,Da contattare,,
ASD TARANTASCA 2018,asdtarantasca2018@gmail.com,,Da contattare,,
A.S.D. Racconigi 86,INFO@RACCONIGI86.IT,,Da contattare,,
A.S.D. DOGLIANI CALCIO,doglianicalcio@alice.it,,Da contattare,,
